,Unnamed: 0,Reviewer Details, Effectiveness Rating, Ease_of_Use Rating, Satisfaction Rating, Comment,Age,Gender
52,52, Kickballman| 25-34 Male  on Treatment for 2 to less than 5 years (Patient) ,3,4,3,aving had DDD (degenerative disc disease) for the last 11 years| which started with L5 and is not L3-L5 and S1. I was on extended release Morphine 120mg a day but 3 1/2 years ago switched to 15mg methadone daily. Did not help| increased to present level of 10mg/3x daily. Moderate relief but still take Morphine IR for breakthrough pain (15mg/4x daily). |Just switched to the morphine and am I am not sure of the combo (used to take 7-8 oxycodone 5/325apap daily as well). Also take 3300mg Gababpentin daily for the nerve pain that at times keeps me awake. Being young (34) I am trying the Methadone and morphine combo but feel it may increase depressed mood and such. Still have a pain level of 4/5 with meds and if I forget to take either one| I pay for it. |Besides some diarrhea at times now (better than being constipated!) not much other issues besides lack of an appetite. |Surgery (2-3 level fusion) is around the corner which I am fearful of as my Aunt has now had 6 surgeries and worries I'd end up like her if I start now as I've done everything- injections of all sorts| acupuncture| massage| PT| with no relief. Makes a person look for others who deal with chronic pain for support and understanding as unless you've had chronic pain| you have no clue what it's like every day. That was what drove my relationship into the ground| she did not understand my limits and daily pain. |Thinking of getting off the Methadone and switching to the fentanyl patch but kind of scared of it. |I appreciate you reading this. I wish all the happiness and relief to all who suffer from chronic pain. |Also| read up on Mindfulness. It had helped me look at things much differently. |,25-34,Male
53,53, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) ,4,3,3,he severe rare side effects that are listed are not that rare| i suffer from multiple side effects the ones that truelly drive me crazy are excessive sweating|weight gain|sleeplessness| among others. But over all it does its job i guess. If there was something to stop the sweating that would be great.,25-34,Female
54,54, sniper| 45-54 Male  on Treatment for 10 years or more (Patient) ,1,5,1,severe lower back pa,45-54,Male
56,56, deweyjnk| 65-74 Male  on Treatment for 10 years or more (Patient) ,5,5,4,Works wonders on my sciatic pain as long as dose is over 90 mg.,65-74,Male
57,57, ronn48| 55-64 Male  on Treatment for 10 years or more (Patient) ,5,5,5,I have been taking different meds since I had a back injury when I was 27 years old| now I'm 62| I have had 4 back surgeries and 2 fusions| and been taking methadone for the last 20 years| Doctors have tried every pain med that was out their| but I always seem to be back on methadone. It is about the only thing that will relieve my pain enough to where I can get out of the house and do something around the house. I was taking 120 mg per day for 5 years| and the doctor decided he was not satisfied with giving me that much| so he started cutting it. I went down to 90 MG per day for a year then he started cutting me faster| within 6 months I am now just taking 40 MG per day. Only thing with that dose| I cant do anything| I'm in the bed more that I'm up|I have a hard time getting up and going to the doctor. My arms go numb and my right leg also has nerve shooting pain. He is a good doctor| but he don't study pain| he is more of a family Phy. I went to a Pain Doctor and he started talking about cutting it more| and that was before I even seen him| He was just going by doctor records| and not by examining. He said he would like to try the Dilaudid 24 hour pill| which I did a med study on that before it was ever ready for the drug stores. I don't know what the milligram he was thinking about using| So I decided I would look for another Pain clinic| cause I had tried it before it was out. So now I am still on the 40 MG per day until I find a doctor that understands pa,55-64,Male
58,58, oscuritax| 25-34 Female  on Treatment for 1 to less than 2 years (Patient) ,2,3,2,Been a heroin addict for 4 years. started taking methadone a year ago. Only taking 65mg a day which is fairly low for someone taking it for narcotic treatment. Makes you extremely sleepy. Withdrawals if you miss a dose are horrible- cold sweats| clammyness| hot flashes| crawling skin| restlessness. Having to use it everday is pretty much just as bad as being addicted to dope| IMO. Best just to not start it.,25-34,Female
60,60, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) ,5,4,5,good drug last 6hrs or more.much better than vicodin|norco ect.|,65-74,Male
61,61, Amy| 35-44 Female  on Treatment for 2 to less than 5 years (Patient) ,4,5,2,I Got divorced in 2005 | a very nasty divorce and soon there after found my first percocet and from there i began using anywhere from 200 mg a day of oxys or whatever was available| i started methadone treatment in 2009 at first was a godsend to me| worked great| But found klonpin in 2011 which sparked a downward spiral| stayed at clinic until January 2014| today is feb 19| 14 and i am still testing positive for methadone and the withdrawals were everything i had read and knew of addiction withdrawal| i knew that still needed treatment so i found Suboxone and its so much more effective and user friendly then methadone| although the methadone worked to a point i didnt want to be on methadone for the rest of my life| having to go to clinic on daily basis is hard for me to achieve| Have since found that a Dr can and will treat me for this and i want to let people know that although methadone works| Suboxone is way better| No chance to abuse or misuse this medication am now getting my life back and want to tell people my story,35-44,Female
62,62, guest| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I have been addicted to opiates since 2007.  My addiction started after my doctor prescribed a controlled substance to me for pain.  I've been on methadone maintenance since 2011.  Methadone| when used appropriately in combination with counseling & support groups| is great treatment for opioid addiction.  It has been a godsend for me & has changed my life for the better.,25-34,Female
63,63, markless| 45-54 Male  on Treatment for less than 1 month (Patient) ,2,3,2,hallucinations go to sleep for ten minutes and wake up see people standing on the corner.,45-54,Male
64,64, korders75| 35-44 Male  on Treatment for 2 to less than 5 years (Patient) ,4,4,3,I been on Methadone for almost 3 years. I can say iy works on withdrawls. But on the flip side I had issues arise.(1) I gained alot of weight. Why? Cause your crave sweets!That caused me to become type 2 diabetic. (2) I become anxious like nothing before but you know the Dr thinks your going to abuse the meds. So he wont give you what you need. So then your like me On edge of a break down. I thank GOD in Heaven for his mercy on an Recovering Addict Born Again Christian!(3) I think if your just addicted to Vicodin|Percocet|or something like that. I wouldn't use Methadone. I mean it's harder to come off methadone than Low Grain Opiates! I was a IV Addict For many many years.I thought I'd never see the light at the end of the tunnel. But Methadone helped me But the Greatest Help was from JESUS CHRIST! Greater is he that is in me |Than he that's in the world! Amen! I hope this helps someone. Feel free to ask me Questions,35-44,Male
65,65, methadone review| 35-44 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,s cheap and the does last longer without hard coming dow,35-44,Male
66,66, Bi Polar / Methadone is not for me!| 35-44 Female  on Treatment for 1 to 6 months (Patient) ,3,3,1,My Dr. Failed to Mention that this Drug could interfere w/my Bi Polar! I have Rapid Cycling Mixed Bi Polar.  So Methadone Has Jacked Me UP! Stopped my Period| Racing Thoughts| Anger| Agitation| My Heart feels like it will beat out of my chest at times.  I don't Know Who I am on this Med. and neither does my Husband. I only sleep 2-4hrs. at a time. If I didn't already Know I was Crazy| Methadone fore the last 2 1/2mo. Has Reminded me.  I have had to Isolate myself because I don't Know what will Jump out of my Mouth!  Methadone may be inexpensive| However at Who's Life Cost!,35-44,Female
67,67, 65-74 Female  on Treatment for 10 years or more (Patient) ,4,5,5,I feel like the luckiest person on the planet!  I have had chronic pain for over 30 years from fibromyalgia and osteoarthitis.  My doctor knew me before I got sick so he knew that I was not a maiingerer and has helped me through most of this time. I did see over 20 doators and specialist and four dentists before I got a diagnosis so I've been at this for a long time. I have taken every pain medicationCon earth and my doctor switched me from Mscontin to methadone about six years ago.  At this point| I'm taking 120 miligrams daily and am able to have a quality of life that I never had without it.  The only caviat is the terrible sweating I experience so I thought i would try something else.  I started back on MsContine and had  terrible withdrawls that lasted nearly a month and my pain returned with a vengence| so we swicthed back and I am doing well again| except for the sweats.  It now seems a small price to pay for adequate pain relief.  I only wish that the doctors who still don't know how to treat chronic pain and only prescribe low dose theraphy for severe pain.  I would suggest a pain clinic . presenting  testamonials from patiests here in hopes of gettiing the pain relief they deserve!,65-74,Female
